"YEAR","MONTH","CPI","SOURCE"
"2000","January",169.3,"US CPI"
"2000","February",170,"US CPI"
"2000","March",171,"US CPI"
"2000","April",170.9,"US CPI"
"2000","May",171.2,"US CPI"
"2000","June",172.2,"US CPI"
"2000","July",172.7,"US CPI"
"2000","August",172.7,"US CPI"
"2000","September",173.6,"US CPI"
"2000","October",173.9,"US CPI"
"2000","November",174.2,"US CPI"
"2000","December",174.6,"US CPI"
"2001","January",175.6,"US CPI"
"2001","February",176,"US CPI"
"2001","March",176.1,"US CPI"
"2001","April",176.4,"US CPI"
"2001","May",177.3,"US CPI"
"2001","June",177.7,"US CPI"
"2001","July",177.4,"US CPI"
"2001","August",177.4,"US CPI"
"2001","September",178.1,"US CPI"
"2001","October",177.6,"US CPI"
"2001","November",177.5,"US CPI"
"2001","December",177.4,"US CPI"
"2002","January",177.7,"US CPI"
"2002","February",178,"US CPI"
"2002","March",178.5,"US CPI"
"2002","April",179.3,"US CPI"
"2002","May",179.5,"US CPI"
"2002","June",179.6,"US CPI"
"2002","July",180,"US CPI"
"2002","August",180.5,"US CPI"
"2002","September",180.8,"US CPI"
"2002","October",181.2,"US CPI"
"2002","November",181.5,"US CPI"
"2002","December",181.8,"US CPI"
"2003","January",182.6,"US CPI"
"2003","February",183.6,"US CPI"
"2003","March",183.9,"US CPI"
"2003","April",183.2,"US CPI"
"2003","May",182.9,"US CPI"
"2003","June",183.1,"US CPI"
"2003","July",183.7,"US CPI"
"2003","August",184.5,"US CPI"
"2003","September",185.1,"US CPI"
"2003","October",184.9,"US CPI"
"2003","November",185,"US CPI"
"2003","December",185.5,"US CPI"
"2004","January",186.3,"US CPI"
"2004","February",186.7,"US CPI"
"2004","March",187.1,"US CPI"
"2004","April",187.4,"US CPI"
"2004","May",188.2,"US CPI"
"2004","June",188.9,"US CPI"
"2004","July",189.1,"US CPI"
"2004","August",189.2,"US CPI"
"2004","September",189.8,"US CPI"
"2004","October",190.8,"US CPI"
"2004","November",191.7,"US CPI"
"2004","December",191.7,"US CPI"
"2005","January",191.6,"US CPI"
"2005","February",192.4,"US CPI"
"2005","March",193.1,"US CPI"
"2005","April",193.7,"US CPI"
"2005","May",193.6,"US CPI"
"2005","June",193.7,"US CPI"
"2005","July",194.9,"US CPI"
"2005","August",196.1,"US CPI"
"2005","September",198.8,"US CPI"
"2005","October",199.1,"US CPI"
"2005","November",198.1,"US CPI"
"2005","December",198.1,"US CPI"
"2006","January",199.3,"US CPI"
"2006","February",199.4,"US CPI"
"2006","March",199.7,"US CPI"
"2006","April",200.7,"US CPI"
"2006","May",201.3,"US CPI"
"2006","June",201.8,"US CPI"
"2006","July",202.9,"US CPI"
"2006","August",203.8,"US CPI"
"2006","September",202.8,"US CPI"
"2006","October",201.9,"US CPI"
"2006","November",202,"US CPI"
"2006","December",203.1,"US CPI"
"2007","January",203.437,"US CPI"
"2007","February",204.226,"US CPI"
"2007","March",205.288,"US CPI"
"2007","April",205.904,"US CPI"
"2007","May",206.755,"US CPI"
"2007","June",207.234,"US CPI"
"2007","July",207.603,"US CPI"
"2007","August",207.667,"US CPI"
"2007","September",208.547,"US CPI"
"2007","October",209.19,"US CPI"
"2007","November",210.834,"US CPI"
"2007","December",211.445,"US CPI"
"2008","January",212.174,"US CPI"
"2008","February",212.687,"US CPI"
"2008","March",213.448,"US CPI"
"2008","April",213.942,"US CPI"
"2008","May",215.208,"US CPI"
"2008","June",217.463,"US CPI"
"2008","July",219.016,"US CPI"
"2008","August",218.69,"US CPI"
"2008","September",218.877,"US CPI"
"2008","October",216.995,"US CPI"
"2008","November",213.153,"US CPI"
"2008","December",211.398,"US CPI"
